Season,PlayerName,playerid,Age,Role,Team,IP,G,GS,SO,BB,H,ER,SV,HLD,SVHLD,role_leverage,W,QS
2018,Jacob deGrom,10954,30,SP,NYM,217,32,32,269,46,152,41,0,0,0,0,10,28
2018,Max Scherzer,3137,33,SP,WSN,220.66666666666666,33,33,300,51,150,62,0,0,0,0,18,28
2018,Justin Verlander,8700,35,SP,HOU,214,34,34,290,37,156,60,0,0,0,0,16,26
2018,Chris Sale,10603,29,SP,BOS,158,27,27,237,34,102,37,0,0,0,0,12,17
2018,Gerrit Cole,13125,27,SP,HOU,200.33333333333334,32,32,276,64,143,64,0,0,0,0,15,20
2018,Patrick Corbin,9323,28,SP,ARI,200,33,33,246,48,162,70,0,0,0,0,11,19
2018,Aaron Nola,16149,25,SP,PHI,212.33333333333334,33,33,224,58,149,56,0,0,0,0,17,25
2018,Luis Severino,15890,24,SP,NYY,191.33333333333334,32,32,220,46,173,72,0,0,0,0,19,17
2018,Carlos Carrasco,6632,31,SP,CLE,192,32,30,231,43,173,72,0,0,0,0,17,19
2018,Blake Snell,13543,25,SP,TBR,180.66666666666666,31,31,221,64,112,38,0,0,0,0,21,19
2018,Miles Mikolas,9803,29,SP,STL,200.66666666666666,32,32,146,29,186,63,0,0,0,0,18,20
2018,Zack Wheeler,10310,28,SP,NYM,182.33333333333334,29,29,179,55,150,67,0,0,0,0,12,18
2018,Germán Márquez,15038,23,SP,COL,196,33,33,230,57,179,82,0,0,0,0,14,20
2018,Kyle Freeland,16256,25,SP,COL,202.33333333333334,33,33,173,70,182,64,0,0,0,0,17,24
2018,Jameson Taillon,11674,26,SP,PIT,191,32,32,179,46,179,68,0,0,0,0,14,20
2018,James Paxton,11828,29,SP,SEA,160.33333333333334,28,28,208,42,134,67,0,0,0,0,11,15
2018,Blake Treinen,12572,30,RP,OAK,80.33333333333333,68,0,100,21,46,7,38,0,38,1,9,0
2018,Marco Gonzales,15467,26,SP,SEA,166.66666666666666,29,29,145,32,172,74,0,0,0,0,13,13
2018,Edwin Díaz,14710,24,RP,SEA,73.33333333333333,73,0,124,17,41,16,57,0,57,1,0,0
2018,Kyle Hendricks,12049,28,SP,CHC,199,33,33,161,44,184,76,0,0,0,0,14,17
2018,Clayton Kershaw,2036,30,SP,LAD,161.33333333333334,26,26,155,29,139,49,0,0,0,0,9,20
2018,Walker Buehler,19374,23,SP,LAD,137.33333333333334,24,23,151,37,95,40,0,0,0,0,8,13
2018,José Berríos,14168,24,SP,MIN,192.33333333333334,32,32,202,61,159,82,0,0,0,0,12,17
2018,Andrew Heaney,15423,27,SP,LAA,180,30,30,180,45,171,83,0,0,0,0,9,17
2018,Nick Pivetta,15454,25,SP,PHI,164,33,32,188,51,163,87,0,0,0,0,7,9
2018,Charlie Morton,4676,34,SP,HOU,167,30,30,201,64,130,58,0,0,0,0,15,18
2018,Lance Lynn,2520,31,SP,2 Tms,156.66666666666666,31,29,161,76,163,83,0,0,0,0,10,10
2018,Trevor Williams,16977,26,SP,PIT,170.66666666666666,31,31,126,55,146,59,0,0,0,0,14,17
2018,Shane Bieber,19427,23,SP,CLE,114.66666666666667,20,19,118,23,130,58,0,0,0,0,11,8
2018,Brad Keller,15734,22,RP,KCR,140.33333333333334,41,20,96,50,133,48,0,5,5,1,9,10
2018,José Leclerc,14524,24,RP,TEX,57.666666666666664,59,0,85,25,24,10,12,15,27,1,2,0
2018,Josh Hader,14212,24,RP,MIL,81.33333333333333,55,0,143,30,36,22,12,21,33,1,6,0
2018,Kyle Gibson,10123,30,SP,MIN,196.66666666666666,32,32,179,79,177,79,0,0,0,0,10,18
2018,Kenta Maeda,18498,30,SP,LAD,125.33333333333333,39,20,153,43,115,53,2,5,7,0,8,5
2018,Lance McCullers Jr.,14120,24,SP,HOU,128.33333333333334,25,22,142,50,100,55,0,1,1,0,10,13
2018,Jon Gray,14916,26,SP,COL,172.33333333333334,31,31,183,52,180,98,0,0,0,0,12,13
2018,Alex Wood,13781,27,SP,LAD,151.66666666666666,33,27,135,40,143,62,0,1,1,0,9,13
2018,Kevin Gausman,14107,27,SP,2 Tms,183.66666666666666,31,31,148,50,189,80,0,0,0,0,10,16
